,연번,행정동,경로당명,도로명주소,전화번호,면적(m2),회원수,기준일자
0,1,월계1동,월계1동경로당,석계로8가길 2(월계동),917-2733,496.97,93,2021-09-13
1,2,월계1동,월성경로당,광운로13길 9 (월계동) ,917-3776,128.0,36,2021-09-13
2,3,월계1동,벼루마을경로당,월계로44길 62(월계동),943-8243,125.26,51,2021-09-13
3,4,월계1동,광운경로당,광운로19가길 53(월계동),942-7009,56.0,34,2021-09-13
4,5,월계1동,선곡경로당,광운로2길 15-6(월계동),912-8956,62.0,43,2021-09-13
5,6,월계1동,동신아파트경로당,"광운로2나길 30(월계동, 동신아파트)",918-2056,119.0,43,2021-09-13
6,7,월계1동,삼창아파트경로당,"광운로2나길 50(월계동, 삼창아파트)",909-4623,80.0,28,2021-09-13
7,8,월계1동,대동아파트경로당,"광운로 46(월계동, 대동아파트)",913-6072,97.3,31,2021-09-13
8,9,월계1동,월계한일1차아파트경로당,"석계로15길 25(월계동, 한일아파트)",919-8035,63.0,29,2021-09-13
9,10,월계1동,월계현대아파트경로당,"석계로 49(월계동, 현대아파트)",942-2407,233.34,29,2021-09-13
10,11,월계1동,장은하이빌아파트경로당,"석계로13길 6-9(월계동, 장은아파트)",909-6676,36.0,39,2021-09-13
11,12,월계1동,세양청마루아파트경로당,"석계로13길 35(월계동, 세양청마루아파트)",911-5010,72.0,48,2021-09-13
12,13,월계1동,월계한일2차아파트경로당,"석계로13길 6-10(월계동, 월계2차한일아파트)",919-5673,38.89,50,2021-09-13
13,14,월계1동,성북역신도브래뉴경로당,"광운로19길 38(월계동, 성북역신도브래뉴)",911-0284,103.34,30,2021-09-13
14,15,월계1동,월계역신도브래뉴경로당,"월계로 338(월계동, 월계역신도브래뉴)",911-1330,76.92,33,2021-09-13
15,16,월계1동,sk뷰아파트경로당,"월계로42길 97(월계동,sk뷰아파트)",911-7555,101.71,25,2021-09-13
16,17,월계1동,연촌경로당,광운로 15길 35-2 동광빌라 101호,,52.0,36,2021-09-13
17,18,월계2동,대동경로당,"덕릉로60길 252(월계동, 유원아파트)",904-4327,61.44,20,2021-09-13
18,19,월계2동,인덕마을경로당,"초안산로2길 94-14, 1층2호(월계동)",6460-0087,49.55,35,2021-09-13
19,20,월계2동,월계종합복지관경로당,"초안산로1길 15(월계동, 월계주공1단지아파트)",907-6907,323.4,47,2021-09-13
20,21,월계2동,2단지각심경로당,"초안산로1길 18(월계동, 월계주공2단지아파트)",906-9551,119.3,42,2021-09-13
21,22,월계2동,극동아파트경로당,"덕릉로60길 268(월계동, 극동아파트)",999-3666,42.12,32,2021-09-13
